id,referencia,poliza_id,vehiculo_id,asegurado_id,fecha_siniestro,lugar,responsable,importe_estimada,estado
34,SIN000034,186,348,156,2024-07-28,Valencia,True,3299.14,ABIERTA
35,SIN000035,238,500,381,2022-02-06,Murcia,True,2282.87,EN_TRAMITE
36,SIN000036,642,423,346,2022-08-12,Málaga,True,3043.74,ABIERTA
37,SIN000037,192,811,913,2024-10-24,Palma,False,1037.44,CERRADA
38,SIN000038,546,127,100,2024-11-02,Murcia,False,4747.45,EN_TRAMITE
39,SIN000039,971,85,247,2023-11-24,Barcelona,True,3352.32,ABIERTA
40,SIN000040,992,702,65,2021-02-25,Bilbao,True,1289.99,ABIERTA
41,SIN000041,272,482,51,2020-01-11,Sevilla,False,2297.06,ABIERTA
42,SIN000042,754,131,578,2021-01-28,Alicante,False,536.83,EN_TRAMITE
43,SIN000043,44,720,887,2021-11-25,Murcia,True,633.31,ABIERTA
44,SIN000044,137,447,832,2023-09-02,Murcia,True,3815.24,CERRADA
45,SIN000045,558,276,612,2023-12-24,Palma,False,1078.13,EN_TRAMITE
46,SIN000046,234,194,360,2022-09-11,Zaragoza,False,4408.35,EN_TRAMITE
47,SIN000047,723,709,970,2020-08-27,Madrid,False,3350.52,CERRADA
48,SIN000048,792,743,593,2023-06-01,Bilbao,False,564.7,EN_TRAMITE
49,SIN000049,344,186,765,2023-10-28,Alicante,False,3838.76,ABIERTA
50,SIN000050,778,991,955,2023-01-26,Sevilla,False,3689.28,ABIERTA
51,SIN000051,449,826,864,2023-07-24,Bilbao,False,3891.28,ABIERTA
52,SIN000052,249,907,737,2020-12-12,Zaragoza,True,1058.01,EN_TRAMITE
53,SIN000053,542,134,974,2023-08-12,Bilbao,False,4335.76,EN_TRAMITE
54,SIN000054,122,262,443,2023-05-06,Barcelona,True,699.78,CERRADA
55,SIN000055,685,441,571,2024-08-10,Zaragoza,False,779.01,EN_TRAMITE
56,SIN000056,806,938,194,2020-05-09,Zaragoza,False,3193.12,CERRADA
57,SIN000057,635,803,199,2020-12-14,Madrid,True,2325.71,CERRADA
58,SIN000058,173,277,318,2024-01-27,Sevilla,False,658.37,CERRADA
59,SIN000059,617,564,799,2023-10-11,Sevilla,False,2382.99,EN_TRAMITE
60,SIN000060,228,352,262,2021-05-01,Alicante,False,3970.88,EN_TRAMITE
61,SIN000061,65,126,900,2023-10-02,Bilbao,True,3439.17,EN_TRAMITE
62,SIN000062,44,710,934,2024-05-30,Málaga,False,1508.42,EN_TRAMITE
63,SIN000063,297,529,226,2022-05-22,Valencia,False,2694.53,ABIERTA
64,SIN000064,186,422,730,2023-05-03,Sevilla,False,2420.43,ABIERTA
65,SIN000065,736,106,564,2022-11-23,Alicante,True,2021.12,CERRADA
66,SIN000066,582,229,338,2023-08-15,Zaragoza,True,2198.99,EN_TRAMITE
67,SIN000067,537,31,685,2021-08-27,Zaragoza,False,4125.73,CERRADA
68,SIN000068,524,343,983,2024-05-20,Madrid,False,2437.13,EN_TRAMITE
69,SIN000069,385,262,923,2023-08-04,Madrid,True,2231.03,EN_TRAMITE
70,SIN000070,727,82,546,2020-10-08,Bilbao,False,3275.35,ABIERTA
71,SIN000071,589,462,751,2020-01-22,Alicante,True,3491.52,EN_TRAMITE
72,SIN000072,740,158,400,2024-08-19,Murcia,False,1749.43,EN_TRAMITE
73,SIN000073,196,698,578,2020-03-11,Murcia,False,1014.15,ABIERTA
74,SIN000074,700,478,368,2023-01-29,Bilbao,False,4200.78,CERRADA
75,SIN000075,820,396,234,2020-04-27,Murcia,False,1545.37,EN_TRAMITE
76,SIN000076,401,75,729,2021-05-06,Sevilla,True,4143.96,EN_TRAMITE
77,SIN000077,442,687,271,2022-04-02,Valencia,False,4325.25,EN_TRAMITE
78,SIN000078,116,767,65,2020-01-28,Valencia,False,3276.15,ABIERTA
79,SIN000079,412,767,546,2021-05-02,Barcelona,True,1221.12,ABIERTA
80,SIN000080,72,501,923,2021-08-16,Valencia,False,2310.06,EN_TRAMITE
81,SIN000081,225,935,183,2020-02-19,Zaragoza,True,1620.28,ABIERTA
82,SIN000082,222,725,948,2021-11-11,Barcelona,True,2525.66,EN_TRAMITE
83,SIN000083,291,46,556,2023-11-23,Madrid,False,2255.57,ABIERTA
84,SIN000084,879,176,571,2023-12-19,Bilbao,True,2486.59,CERRADA
85,SIN000085,777,460,166,2024-06-21,Murcia,True,2144.64,CERRADA
86,SIN000086,986,271,198,2023-05-07,Sevilla,True,1274.07,EN_TRAMITE
87,SIN000087,420,275,422,2021-12-28,Bilbao,False,1096.19,CERRADA
88,SIN000088,433,408,730,2022-08-15,Zaragoza,True,3357.44,EN_TRAMITE
89,SIN000089,602,315,432,2021-03-01,Sevilla,False,4602.87,ABIERTA
90,SIN000090,778,187,298,2022-10-02,Bilbao,False,4827.66,CERRADA
91,SIN000091,757,524,185,2021-10-27,Palma,False,4699.98,ABIERTA
92,SIN000092,377,864,479,2022-11-15,Sevilla,False,2661.44,EN_TRAMITE
93,SIN000093,36,819,378,2021-09-11,Alicante,False,2768.52,ABIERTA
94,SIN000094,963,672,832,2020-07-04,Alicante,False,1308.57,EN_TRAMITE
95,SIN000095,30,952,752,2022-04-03,Alicante,True,1282.01,CERRADA
96,SIN000096,545,348,444,2024-06-19,Murcia,True,1865.93,CERRADA
97,SIN000097,916,784,118,2021-02-21,Madrid,True,537.21,ABIERTA
98,SIN000098,801,639,54,2024-08-12,Alicante,True,869.76,ABIERTA
99,SIN000099,787,440,554,2020-06-03,Madrid,True,834.77,EN_TRAMITE
100,SIN000100,661,524,727,2023-06-03,Alicante,True,2044.03,CERRADA
101,SIN000101,840,997,798,2023-10-22,Sevilla,True,4048.57,ABIERTA
102,SIN000102,724,861,132,2020-11-28,Bilbao,False,1994.5,EN_TRAMITE
103,SIN000103,985,869,96,2022-02-02,Alicante,False,2399.37,EN_TRAMITE
104,SIN000104,338,927,513,2021-01-21,Madrid,True,2323.29,CERRADA
105,SIN000105,40,376,109,2022-03-10,Madrid,True,1908.48,EN_TRAMITE
106,SIN000106,835,226,71,2020-07-29,Alicante,True,3931.86,ABIERTA
107,SIN000107,844,898,510,2023-11-08,Valencia,True,4083.95,EN_TRAMITE
108,SIN000108,361,875,72,2021-01-05,Alicante,False,3730.96,ABIERTA
109,SIN000109,548,334,670,2021-08-17,Bilbao,False,4092.39,CERRADA
110,SIN000110,459,929,518,2020-04-03,Barcelona,False,809.39,CERRADA
111,SIN000111,950,509,973,2021-07-10,Madrid,True,1025.15,EN_TRAMITE
112,SIN000112,69,429,18,2023-06-15,Valencia,False,3469.72,ABIERTA
113,SIN000113,124,313,278,2021-09-04,Málaga,True,4713.39,CERRADA
114,SIN000114,703,222,192,2020-05-31,Sevilla,False,3684.98,ABIERTA
115,SIN000115,616,2,195,2022-10-26,Sevilla,True,813.19,CERRADA
116,SIN000116,325,372,881,2023-02-07,Zaragoza,True,2400.38,EN_TRAMITE
117,SIN000117,207,650,246,2024-04-29,Barcelona,False,3096.35,CERRADA
118,SIN000118,331,63,569,2022-09-26,Alicante,True,2136.41,CERRADA
119,SIN000119,818,757,280,2024-08-09,Bilbao,False,1398.13,EN_TRAMITE
120,SIN000120,999,518,883,2021-02-08,Zaragoza,True,2887.34,CERRADA
121,SIN000121,546,531,708,2023-10-07,Sevilla,False,3673.45,ABIERTA
122,SIN000122,170,440,306,2020-06-19,Málaga,True,1127.44,ABIERTA
123,SIN000123,473,894,921,2023-11-15,Málaga,True,4478.16,EN_TRAMITE
124,SIN000124,564,137,920,2022-02-06,Sevilla,True,4685.04,CERRADA
125,SIN000125,307,167,969,2024-01-20,Madrid,False,4556.66,EN_TRAMITE
126,SIN000126,903,328,701,2024-10-05,Murcia,True,4553.43,CERRADA
127,SIN000127,329,357,812,2023-07-30,Málaga,True,3826.04,EN_TRAMITE
128,SIN000128,835,342,744,2023-12-18,Murcia,False,1189.53,EN_TRAMITE
129,SIN000129,636,806,462,2023-02-25,Alicante,True,4218.81,EN_TRAMITE
130,SIN000130,846,916,781,2021-09-29,Murcia,False,1352.62,CERRADA
131,SIN000131,496,35,175,2022-01-02,Málaga,True,414.01,ABIERTA
132,SIN000132,941,463,334,2020-07-15,Sevilla,False,2558.26,ABIERTA
133,SIN000133,813,886,134,2022-03-20,Bilbao,True,2809.64,ABIERTA
134,SIN000134,210,94,818,2022-11-05,Málaga,False,1983.03,CERRADA
135,SIN000135,165,784,219,2021-12-04,Zaragoza,True,760.8,EN_TRAMITE
136,SIN000136,121,702,973,2023-02-17,Barcelona,False,1031.96,EN_TRAMITE
137,SIN000137,71,517,794,2020-01-25,Málaga,False,4810.21,CERRADA
138,SIN000138,703,24,181,2024-05-11,Sevilla,True,4969.88,CERRADA
139,SIN000139,271,189,928,2023-10-17,Valencia,True,817.07,EN_TRAMITE
140,SIN000140,876,463,570,2020-06-19,Bilbao,True,4688.06,ABIERTA
141,SIN000141,847,899,769,2020-08-07,Palma,False,1940.57,CERRADA
142,SIN000142,556,323,351,2020-02-19,Málaga,True,3792.96,EN_TRAMITE
143,SIN000143,758,153,178,2024-09-12,Madrid,False,2993.47,ABIERTA
144,SIN000144,388,518,309,2023-09-29,Málaga,True,4094.96,EN_TRAMITE
145,SIN000145,824,962,665,2023-05-31,Zaragoza,False,4106.47,EN_TRAMITE
146,SIN000146,557,236,135,2022-11-04,Málaga,True,2182.48,ABIERTA
147,SIN000147,165,107,881,2024-05-28,Barcelona,False,3733.18,ABIERTA
148,SIN000148,263,86,14,2020-05-29,Barcelona,True,1390.92,CERRADA
149,SIN000149,976,571,131,2024-08-11,Málaga,True,2761.39,ABIERTA
150,SIN000150,286,788,271,2024-02-03,Valencia,True,2963.71,CERRADA
151,SIN000151,877,658,203,2023-04-16,Valencia,False,4994.4,CERRADA
152,SIN000152,762,592,675,2022-08-17,Palma,False,4468.25,EN_TRAMITE
153,SIN000153,917,934,650,2023-05-14,Murcia,False,4070.06,ABIERTA
154,SIN000154,139,641,163,2024-11-01,Zaragoza,False,946.47,EN_TRAMITE
155,SIN000155,651,677,391,2024-04-05,Murcia,True,651.91,ABIERTA
156,SIN000156,333,79,207,2022-03-30,Palma,False,4906.97,CERRADA
157,SIN000157,632,307,455,2020-07-18,Madrid,True,4837.01,EN_TRAMITE
158,SIN000158,385,571,601,2024-11-26,Bilbao,False,3699.24,EN_TRAMITE
159,SIN000159,375,661,952,2022-10-07,Zaragoza,False,3841.12,CERRADA
160,SIN000160,604,659,806,2022-03-08,Madrid,False,2655.48,ABIERTA
161,SIN000161,905,845,9,2020-10-31,Málaga,True,1993.56,EN_TRAMITE
162,SIN000162,671,427,382,2021-07-12,Murcia,False,3551.28,CERRADA
163,SIN000163,241,498,254,2023-09-25,Palma,False,3596.66,EN_TRAMITE
164,SIN000164,433,796,801,2022-09-16,Sevilla,True,526.44,CERRADA
165,SIN000165,720,625,787,2021-07-26,Zaragoza,False,3149.55,EN_TRAMITE
166,SIN000166,277,283,431,2023-03-09,Málaga,True,2556.55,EN_TRAMITE
167,SIN000167,326,333,641,2021-12-23,Sevilla,True,4522.6,EN_TRAMITE
168,SIN000168,503,621,606,2022-10-19,Madrid,True,1145.29,CERRADA
169,SIN000169,825,227,990,2022-06-16,Málaga,False,4562.89,CERRADA
170,SIN000170,665,23,52,2022-07-30,Madrid,True,3969.1,ABIERTA
171,SIN000171,507,998,836,2020-12-01,Barcelona,False,2526.03,ABIERTA
172,SIN000172,50,728,277,2023-11-03,Málaga,True,4464.17,ABIERTA
173,SIN000173,13,9,238,2023-02-13,Palma,False,772.96,EN_TRAMITE
174,SIN000174,275,842,40,2023-09-25,Madrid,True,366.8,CERRADA
175,SIN000175,86,615,965,2023-08-19,Sevilla,False,3660.13,CERRADA
176,SIN000176,407,92,710,2024-01-09,Zaragoza,False,3223.26,EN_TRAMITE
177,SIN000177,359,278,788,2023-08-19,Zaragoza,False,3300.21,EN_TRAMITE
178,SIN000178,665,381,66,2024-03-22,Sevilla,True,3593.3,CERRADA
179,SIN000179,981,889,667,2024-06-14,Alicante,True,1560.42,ABIERTA
180,SIN000180,894,598,288,2024-01-10,Madrid,False,2355.32,EN_TRAMITE
181,SIN000181,795,774,837,2024-08-31,Barcelona,False,4518.17,CERRADA
182,SIN000182,987,871,902,2021-10-21,Málaga,True,2011.04,ABIERTA
183,SIN000183,485,8,401,2020-01-29,Alicante,True,2395.17,CERRADA
184,SIN000184,725,316,54,2023-07-26,Palma,False,855.54,ABIERTA
185,SIN000185,11,840,646,2024-10-13,Alicante,False,2783.81,CERRADA
186,SIN000186,415,656,76,2023-05-20,Zaragoza,False,3482.69,EN_TRAMITE
187,SIN000187,777,305,912,2023-06-07,Málaga,False,778.51,CERRADA
188,SIN000188,399,363,412,2024-12-27,Zaragoza,True,524.01,EN_TRAMITE
189,SIN000189,511,28,135,2022-03-01,Bilbao,False,3436.21,CERRADA
190,SIN000190,836,152,588,2023-01-03,Murcia,True,3795.01,EN_TRAMITE
191,SIN000191,516,60,195,2021-04-23,Madrid,False,4623.81,EN_TRAMITE
192,SIN000192,195,302,581,2024-10-01,Bilbao,True,2640.35,EN_TRAMITE
193,SIN000193,46,474,896,2022-01-08,Zaragoza,False,2363.74,CERRADA
194,SIN000194,592,661,482,2021-08-28,Valencia,False,409.82,ABIERTA
195,SIN000195,509,109,185,2022-08-14,Palma,False,1445.54,EN_TRAMITE
196,SIN000196,298,196,954,2023-10-26,Murcia,False,595.94,CERRADA
197,SIN000197,948,708,319,2024-12-12,Sevilla,False,566.14,EN_TRAMITE
198,SIN000198,420,427,428,2020-04-27,Málaga,True,4338.87,EN_TRAMITE
199,SIN000199,336,433,930,2023-05-21,Murcia,False,4081.52,EN_TRAMITE
200,SIN000200,25,72,417,2024-06-18,Alicante,True,3839.26,EN_TRAMITE
201,SIN000201,674,791,489,2021-12-24,Barcelona,True,921.8,EN_TRAMITE
202,SIN000202,248,764,986,2021-07-19,Murcia,False,1511.01,ABIERTA
203,SIN000203,465,742,308,2023-01-22,Valencia,True,2752.09,CERRADA
204,SIN000204,11,374,197,2021-04-26,Valencia,False,3442.27,EN_TRAMITE
205,SIN000205,276,856,670,2023-08-28,Bilbao,True,3156.62,EN_TRAMITE
206,SIN000206,476,520,436,2022-06-10,Alicante,True,2737.3,CERRADA
207,SIN000207,897,160,425,2021-02-03,Bilbao,True,3179.92,ABIERTA
208,SIN000208,220,44,265,2023-03-10,Sevilla,True,670.9,EN_TRAMITE
209,SIN000209,523,758,15,2020-07-02,Murcia,True,1467.04,EN_TRAMITE
210,SIN000210,244,690,35,2022-02-19,Zaragoza,True,4624.88,EN_TRAMITE
211,SIN000211,384,253,897,2020-03-20,Barcelona,False,4090.01,EN_TRAMITE
212,SIN000212,331,58,917,2022-02-10,Málaga,True,2322.53,EN_TRAMITE
213,SIN000213,361,360,940,2024-06-07,Palma,False,1170.67,CERRADA
214,SIN000214,376,575,396,2021-11-15,Zaragoza,False,3170.45,ABIERTA
215,SIN000215,870,126,320,2020-09-19,Murcia,True,4148.18,CERRADA
216,SIN000216,555,377,349,2021-05-27,Barcelona,True,2518.36,EN_TRAMITE
217,SIN000217,629,672,598,2024-06-11,Palma,False,2389.77,EN_TRAMITE
218,SIN000218,242,698,586,2022-11-05,Málaga,False,4573.31,CERRADA
219,SIN000219,533,303,546,2023-01-02,Madrid,False,1814.35,CERRADA
220,SIN000220,593,590,978,2020-09-17,Sevilla,False,487.08,ABIERTA
221,SIN000221,202,501,126,2022-05-15,Madrid,False,1461.48,CERRADA
222,SIN000222,220,278,936,2024-10-05,Murcia,True,2481.4,ABIERTA
223,SIN000223,518,213,249,2020-05-20,Málaga,True,1894.42,ABIERTA
224,SIN000224,655,602,584,2022-07-21,Valencia,True,1832.44,ABIERTA
225,SIN000225,203,635,533,2024-06-14,Murcia,False,3833.51,CERRADA
226,SIN000226,422,371,110,2021-10-07,Sevilla,True,3866.24,CERRADA
227,SIN000227,441,595,430,2023-10-01,Barcelona,False,1666.94,CERRADA
228,SIN000228,913,603,956,2022-10-05,Zaragoza,False,1982.52,CERRADA
229,SIN000229,705,888,86,2020-01-02,Bilbao,True,349.94,EN_TRAMITE
230,SIN000230,759,968,216,2024-03-17,Palma,False,834.92,CERRADA
231,SIN000231,426,153,350,2023-04-24,Málaga,True,1711.68,EN_TRAMITE
232,SIN000232,697,885,921,2024-07-10,Murcia,False,329.49,EN_TRAMITE
233,SIN000233,823,694,972,2023-03-22,Alicante,False,697.36,CERRADA
234,SIN000234,931,445,143,2020-11-27,Sevilla,False,1404.33,CERRADA
235,SIN000235,733,862,20,2023-12-27,Murcia,True,387.54,ABIERTA
236,SIN000236,490,862,784,2022-07-08,Valencia,False,2142.44,ABIERTA
237,SIN000237,653,704,834,2020-11-17,Málaga,False,2966.73,EN_TRAMITE
238,SIN000238,816,356,470,2020-11-08,Valencia,True,3934.17,CERRADA
239,SIN000239,195,169,616,2021-01-28,Málaga,True,2139.25,EN_TRAMITE
240,SIN000240,918,927,96,2023-03-09,Murcia,True,4707.57,CERRADA
241,SIN000241,327,777,340,2021-12-06,Murcia,False,4658.53,CERRADA
242,SIN000242,30,788,818,2023-07-27,Murcia,True,1536.88,EN_TRAMITE
243,SIN000243,443,806,622,2020-03-22,Zaragoza,False,1037.31,EN_TRAMITE
244,SIN000244,763,210,856,2020-07-31,Málaga,False,311.13,EN_TRAMITE
245,SIN000245,683,141,799,2020-12-25,Madrid,False,2531.35,ABIERTA
246,SIN000246,663,18,218,2022-01-24,Málaga,False,4838.8,EN_TRAMITE
247,SIN000247,757,875,756,2024-03-26,Murcia,True,4018.23,CERRADA
248,SIN000248,181,468,157,2022-08-11,Alicante,False,1140.5,CERRADA
249,SIN000249,993,85,504,2020-01-03,Zaragoza,False,3567.29,EN_TRAMITE
250,SIN000250,388,637,637,2020-07-10,Málaga,True,4407.0,EN_TRAMITE
251,SIN000251,492,627,726,2023-08-09,Zaragoza,True,1504.91,EN_TRAMITE
252,SIN000252,898,231,376,2024-04-13,Sevilla,True,2998.0,EN_TRAMITE
253,SIN000253,991,754,820,2020-07-30,Bilbao,False,2704.38,ABIERTA
254,SIN000254,310,323,595,2024-01-02,Bilbao,False,966.77,CERRADA
255,SIN000255,529,202,17,2021-03-21,Alicante,True,4477.02,ABIERTA
256,SIN000256,888,788,935,2022-12-11,Málaga,False,2313.68,CERRADA
257,SIN000257,613,595,277,2020-09-17,Málaga,True,872.32,CERRADA
258,SIN000258,981,357,791,2020-02-21,Valencia,False,3341.78,ABIERTA
259,SIN000259,469,816,231,2024-08-02,Barcelona,True,491.15,EN_TRAMITE
260,SIN000260,172,353,292,2023-08-17,Sevilla,False,4469.86,ABIERTA
261,SIN000261,983,761,616,2020-12-03,Valencia,True,1261.27,CERRADA
262,SIN000262,234,693,26,2024-06-14,Valencia,False,3562.51,CERRADA
263,SIN000263,437,527,881,2024-03-19,Zaragoza,True,3556.63,CERRADA
264,SIN000264,59,335,473,2023-01-31,Bilbao,True,2643.33,EN_TRAMITE
265,SIN000265,713,981,797,2023-01-18,Sevilla,False,3413.79,CERRADA
266,SIN000266,136,730,953,2020-03-18,Murcia,True,3024.28,CERRADA
267,SIN000267,544,380,922,2021-04-03,Alicante,False,3866.14,EN_TRAMITE
268,SIN000268,260,201,142,2024-11-02,Palma,False,2020.69,EN_TRAMITE
269,SIN000269,430,705,653,2021-07-12,Madrid,False,4428.73,ABIERTA
270,SIN000270,142,739,512,2024-07-19,Málaga,True,3633.23,CERRADA
271,SIN000271,727,892,913,2020-05-07,Madrid,True,1763.05,ABIERTA
272,SIN000272,60,517,292,2024-11-09,Málaga,False,3134.79,ABIERTA
273,SIN000273,55,332,168,2020-01-25,Murcia,False,2546.57,ABIERTA
274,SIN000274,673,92,205,2021-07-17,Palma,False,3589.27,CERRADA
275,SIN000275,781,125,782,2023-05-02,Zaragoza,True,4323.74,ABIERTA
276,SIN000276,350,669,144,2020-05-12,Málaga,False,2371.34,CERRADA
277,SIN000277,401,198,296,2023-10-02,Bilbao,True,4869.41,EN_TRAMITE
278,SIN000278,559,357,211,2021-07-09,Bilbao,False,2192.05,EN_TRAMITE
279,SIN000279,821,672,397,2022-06-18,Sevilla,False,3797.85,CERRADA
280,SIN000280,214,34,712,2023-08-29,Zaragoza,False,2038.9,ABIERTA
281,SIN000281,219,169,393,2022-05-29,Barcelona,False,3889.61,ABIERTA
282,SIN000282,107,310,874,2022-06-03,Zaragoza,False,4356.82,EN_TRAMITE
283,SIN000283,108,659,55,2020-04-18,Murcia,False,2802.76,CERRADA
284,SIN000284,220,651,308,2020-08-22,Alicante,True,2214.61,EN_TRAMITE
285,SIN000285,780,993,958,2022-06-30,Murcia,True,1199.7,ABIERTA
286,SIN000286,670,720,722,2024-07-28,Murcia,True,2360.05,CERRADA
287,SIN000287,770,753,107,2022-04-17,Bilbao,False,2842.84,CERRADA
288,SIN000288,896,894,475,2024-01-16,Valencia,False,4475.91,ABIERTA
289,SIN000289,289,842,745,2020-10-21,Valencia,True,785.48,EN_TRAMITE
290,SIN000290,531,554,98,2021-07-18,Murcia,True,4327.48,EN_TRAMITE
291,SIN000291,522,581,526,2024-05-18,Zaragoza,False,3988.07,EN_TRAMITE
292,SIN000292,15,69,352,2021-03-10,Málaga,True,2497.02,CERRADA
293,SIN000293,909,340,807,2024-04-13,Valencia,True,4660.32,ABIERTA
294,SIN000294,894,502,57,2024-08-01,Madrid,True,1306.49,ABIERTA
295,SIN000295,666,47,329,2022-05-13,Alicante,True,2051.42,ABIERTA
296,SIN000296,11,847,256,2022-03-05,Zaragoza,False,3925.79,CERRADA
297,SIN000297,844,382,977,2023-02-12,Barcelona,True,1480.69,EN_TRAMITE
298,SIN000298,946,392,771,2020-08-29,Málaga,True,2061.07,CERRADA
299,SIN000299,461,597,137,2023-06-23,Madrid,True,920.16,ABIERTA
300,SIN000300,771,323,79,2023-04-24,Málaga,False,1455.73,ABIERTA
301,SIN000301,389,488,246,2024-08-30,Alicante,False,1669.06,ABIERTA
302,SIN000302,260,468,273,2023-07-04,Bilbao,False,1391.68,ABIERTA
303,SIN000303,341,328,163,2021-01-26,Murcia,False,3460.46,CERRADA
304,SIN000304,707,650,121,2023-11-21,Bilbao,True,2149.14,CERRADA
305,SIN000305,750,918,825,2022-04-26,Valencia,True,2842.53,EN_TRAMITE
306,SIN000306,769,8,884,2023-12-29,Zaragoza,True,1253.45,ABIERTA
307,SIN000307,169,621,368,2020-12-08,Sevilla,True,4498.27,CERRADA
308,SIN000308,28,758,637,2023-12-21,Sevilla,False,1752.15,EN_TRAMITE
309,SIN000309,361,121,244,2024-06-03,Zaragoza,False,2930.22,ABIERTA
310,SIN000310,784,308,620,2021-03-02,Alicante,True,1148.13,CERRADA
311,SIN000311,340,262,757,2024-07-19,Alicante,True,1932.96,CERRADA
312,SIN000312,817,926,493,2020-05-29,Murcia,True,775.02,CERRADA
313,SIN000313,451,320,433,2022-09-07,Murcia,True,3028.69,EN_TRAMITE
314,SIN000314,926,109,310,2024-04-27,Valencia,False,1971.7,CERRADA
315,SIN000315,577,811,272,2021-11-17,Barcelona,False,4092.09,CERRADA
316,SIN000316,942,803,781,2024-03-02,Sevilla,True,4149.67,CERRADA
317,SIN000317,66,23,993,2021-08-27,Valencia,True,3861.14,CERRADA
318,SIN000318,999,129,642,2023-01-17,Sevilla,False,1046.44,EN_TRAMITE
319,SIN000319,224,922,35,2020-10-25,Madrid,True,3150.99,EN_TRAMITE
320,SIN000320,923,269,410,2020-02-28,Málaga,True,2862.72,EN_TRAMITE
321,SIN000321,862,618,318,2023-11-15,Madrid,False,3964.98,ABIERTA
322,SIN000322,91,871,285,2021-08-27,Málaga,False,517.91,CERRADA
323,SIN000323,50,803,118,2021-12-16,Valencia,True,1406.42,CERRADA
324,SIN000324,304,347,552,2021-05-06,Murcia,True,529.4,ABIERTA
325,SIN000325,799,67,362,2022-01-29,Murcia,False,1402.57,EN_TRAMITE
326,SIN000326,623,82,435,2020-11-28,Murcia,True,3396.91,ABIERTA
327,SIN000327,815,157,438,2022-08-04,Madrid,True,4610.8,ABIERTA
328,SIN000328,896,658,580,2023-05-29,Alicante,True,4454.41,EN_TRAMITE
329,SIN000329,555,723,856,2024-10-17,Valencia,True,1375.87,EN_TRAMITE
330,SIN000330,990,782,805,2023-10-28,Alicante,False,609.43,CERRADA
331,SIN000331,23,981,656,2020-03-28,Barcelona,True,3102.37,ABIERTA
332,SIN000332,127,730,189,2021-02-16,Palma,False,3416.41,CERRADA
333,SIN000333,379,507,995,2023-08-04,Sevilla,False,4071.26,ABIERTA
334,SIN000334,19,836,390,2023-05-14,Zaragoza,True,4576.33,CERRADA
335,SIN000335,573,808,550,2021-12-06,Murcia,True,1517.88,CERRADA
336,SIN000336,465,607,298,2023-12-16,Valencia,True,3898.21,CERRADA
337,SIN000337,285,797,78,2022-01-11,Sevilla,False,4728.84,CERRADA
338,SIN000338,944,471,464,2024-03-27,Valencia,False,4199.95,ABIERTA
