vin,marca,modelo,año,país_origen,color,fecha_ultimo_dano,tipo_incidente,coste_estimado,gravedad,partes_afectadas,lectura_km,fecha_ultimo_itv,resultado_itv,observaciones
TN3ZLKN1AZC2E9VZM,Honda,Modelo2,2020,España,Gris,2016-12-17,Daño menor,3586.63,Grave,Capó,69881,2020-02-22,Desfavorable,Luces dañadas
BZ3FXDBUTSNHUC7T4,Volkswagen,Modelo3,2012,España,Negro,2023-05-14,Daño por granizo,1048.81,Leve,,16166,2020-04-09,Favorable,Luces dañadas
399A9SHHNWWHPB1ZN,Opel,Modelo2,2011,Alemania,Negro,,,,,,79347,2024-04-21,Favorable,Frenos OK
7JWUDSVTC5U1NRMA9,Kia,Modelo1,2012,España,Blanco,2017-04-02,,4469.11,Grave,Laterales,164704,2023-01-07,Favorable,Sin defectos
GJRTKL1CC5XPXW82H,Toyota,Modelo2,2022,Francia,Azul,2015-03-23,Accidente grave,2375.97,,,106570,2022-11-03,Favorable,Fugas leves de aceite
E9BCEHC1CRTJHLXFZ,Nissan,Modelo2,2020,Francia,Blanco,,,,,,55939,2024-10-15,Favorable,Fugas leves de aceite
S4TUXRJH2WS126P1G,Kia,Modelo3,2021,Japón,Rojo,2019-05-07,Daño por granizo,5751.14,,Puertas,80690,2023-12-25,Favorable,Sin defectos
BACF9M8HPT2AZK64Z,Citroen,Modelo3,2020,España,Gris,,,,,,128919,2023-04-14,Desfavorable,Sin defectos
Y91WMR9MV6GJHJ1YY,Mazda,Modelo3,2010,Italia,Blanco,,,,,,166894,2021-09-27,Desfavorable,Frenos OK
T06AJ5HPALMLFY334,Peugeot,Modelo3,2022,España,Blanco,2017-07-12,Impacto frontal,13885.81,Leve,Motor,87988,2022-09-20,Desfavorable,Sin defectos
T0J5UPXK1HC74SHK3,Mazda,Modelo3,2014,España,Gris,2021-03-05,Daño por granizo,4271.5,Media,Capó,127322,2022-12-03,Desfavorable,Sin defectos
WCCNUC0TS0Z3HSMJZ,BMW,Modelo2,2013,Italia,Rojo,2019-05-05,Accidente grave,3044.44,Leve,,155532,2024-02-16,Favorable,Luces dañadas
M9BS1D71SVJ1SLFLE,Mazda,Modelo1,2024,España,Gris,2016-12-10,Impacto frontal,2030.96,Media,,55972,2023-08-30,Desfavorable,Sin defectos
ML88DSGXY3ND4D37V,Kia,Modelo1,2017,Francia,Rojo,,,,,,84890,2021-02-01,Favorable,Luces dañadas
8R52X7YZZ4GXLK3VE,Ford,Modelo1,2023,Italia,Gris,,,,,,146424,2020-06-13,Favorable,Sin defectos
JZZ1N4DET8X6B13ZA,Peugeot,Modelo3,2019,Italia,Azul,,,,,,121691,2021-07-15,Favorable,Fugas leves de aceite
YMDKZBNX6B7BWK39D,Citroen,Modelo1,2024,Alemania,Rojo,,,,,,162674,2021-12-31,Desfavorable,Sin defectos
6D24E1ABMFTRRP5U1,Peugeot,Modelo2,2020,Francia,Rojo,,,,,,114758,2020-04-08,Favorable,Frenos OK
MFN6U99VW7ZEPKEBS,Mazda,Modelo2,2010,España,Azul,2015-05-22,Daño menor,13434.52,,Puertas,124998,2023-03-16,Favorable,Fugas leves de aceite
39MEP2GDY792LSYUU,BMW,Modelo2,2015,Japón,Gris,,,,,,16125,2022-08-13,Desfavorable,Luces dañadas
29YK2MK5E8EPP5CLC,Volkswagen,Modelo2,2023,España,Azul,,,,,,176008,2023-05-18,Desfavorable,Luces dañadas
9L19MFR7Y1WVA01MV,Toyota,Modelo1,2023,Italia,Azul,2016-03-22,Daño por granizo,14056.24,Media,Capó,103149,2022-09-14,Favorable,Luces dañadas
FF7NLJGV54612WRPT,Seat,Modelo3,2011,Japón,Blanco,,,,,,38530,2021-08-19,Desfavorable,Frenos OK
9DTU8098NBAXA2W2S,Ford,Modelo3,2016,Italia,Negro,2015-05-21,Impacto frontal,5591.3,Leve,,46002,2024-04-25,Favorable,Fugas leves de aceite
P3EXEHDA276CC6W8C,Mazda,Modelo1,2018,Italia,Rojo,,,,,,53635,2021-12-10,Favorable,Frenos OK
DZXP81SLEHVRUFRJY,Citroen,Modelo3,2012,Italia,Blanco,,,,,,128143,2021-11-29,Desfavorable,Frenos OK
36YWXZM884MFTL4Y1,Toyota,Modelo2,2013,Alemania,Azul,,,,,,127041,2020-11-18,Desfavorable,Frenos OK
0D8R8PXZEDNRJ3NNT,Hyundai,Modelo1,2012,Alemania,Rojo,2022-02-02,Impacto frontal,4819.18,Media,Puertas,181216,2024-05-05,Desfavorable,Luces dañadas
4TNMAPX7EG8PET0HM,Seat,Modelo2,2017,Alemania,Gris,2023-06-23,Impacto frontal,14491.13,Leve,Parachoques,155093,2022-02-03,Desfavorable,Frenos OK
J6PED8MLYRCBVVVJ8,Citroen,Modelo1,2019,Japón,Negro,,,,,,14294,2021-05-19,Favorable,Luces dañadas
B70R6YWRTXGWXWBUF,Kia,Modelo2,2023,Francia,Blanco,2020-11-03,Accidente grave,7602.59,,Parachoques,133523,2022-11-17,Desfavorable,Luces dañadas
5V33JVU1YDE8DPEBX,Seat,Modelo2,2011,Alemania,Negro,2023-05-10,Daño por granizo,10675.61,Leve,Laterales,167532,2024-04-10,Desfavorable,Sin defectos
ZF5V3ARX15PE880CX,Renault,Modelo3,2017,Italia,Negro,2017-07-15,,1876.39,Grave,Puertas,104604,2022-11-01,Favorable,Sin defectos
974G9A5TH960WR8Y3,Renault,Modelo2,2022,Francia,Blanco,2023-12-29,Daño menor,8167.13,Leve,,158582,2022-10-29,Favorable,Sin defectos
KX55993GRVHTH8B73,Renault,Modelo3,2017,Japón,Rojo,2015-06-12,,6536.78,Media,Laterales,151010,2023-09-11,Favorable,Sin defectos
CNMTS7PPUWY0MV4MM,Ford,Modelo3,2019,Alemania,Azul,,,,,,53267,2024-06-25,Desfavorable,Fugas leves de aceite
8BY4XU289BCNSPD7M,Ford,Modelo1,2019,Japón,Blanco,2019-09-05,Accidente grave,14728.96,Media,Capó,9652,2021-06-25,Favorable,Luces dañadas
WD15247L60DSXFGDB,Opel,Modelo3,2020,Francia,Rojo,,,,,,129091,2022-02-16,Favorable,Fugas leves de aceite
5R6SLEFVNGCFKYMZP,Hyundai,Modelo2,2016,Italia,Blanco,2019-06-10,Impacto frontal,12418.5,Leve,Puertas,182395,2020-11-21,Desfavorable,Frenos OK
FW2C3SDM7RLZ3DX27,Seat,Modelo3,2019,Japón,Rojo,,,,,,176342,2021-05-06,Desfavorable,Frenos OK
9M4TR6VD503UMSTLK,Opel,Modelo1,2019,Alemania,Gris,2022-02-03,Impacto frontal,5008.17,Grave,Laterales,32529,2020-01-17,Desfavorable,Luces dañadas
R2AJXP29XSM1GFZ3J,Citroen,Modelo1,2017,Francia,Negro,2021-12-09,,6771.33,,Puertas,137284,2020-12-10,Desfavorable,Frenos OK
LAX6LNDP0DKS9WTTK,Kia,Modelo2,2016,Japón,Rojo,,,,,,175237,2021-05-14,Favorable,Fugas leves de aceite
3FG607HK5PGDLJ79E,Seat,Modelo3,2010,Francia,Blanco,2016-03-17,Impacto frontal,7752.66,Leve,Laterales,121068,2021-08-02,Favorable,Fugas leves de aceite
DJ491HR5XK6KRSL5H,Kia,Modelo2,2014,Alemania,Rojo,2015-09-21,Daño menor,14592.33,Media,Puertas,50311,2023-07-24,Favorable,Sin defectos
48M5NN3JYDXP4NRL9,Fiat,Modelo2,2021,España,Negro,2022-01-26,Impacto frontal,13260.51,Media,,50046,2020-04-06,Favorable,Frenos OK
DPUR8AUYN52RE78S3,Volkswagen,Modelo1,2018,Francia,Negro,2023-11-05,Daño por granizo,4405.21,Media,Capó,195836,2020-08-18,Favorable,Sin defectos
4MD4PM74LBCMVAVSD,Opel,Modelo3,2015,Japón,Gris,2019-07-09,Daño menor,13710.44,Leve,,160899,2021-06-03,Desfavorable,Fugas leves de aceite
NDTTDHVZPLRRTPWXZ,Fiat,Modelo2,2012,Japón,Rojo,,,,,,166663,2022-05-14,Favorable,Frenos OK
0ETFTM28U1HPSNZPW,Honda,Modelo3,2011,España,Rojo,2017-02-18,Daño menor,10688.63,Leve,Capó,148596,2024-10-01,Favorable,Fugas leves de aceite
3BWNHFNTBD5S4LZUW,Hyundai,Modelo1,2015,Alemania,Rojo,2015-10-15,Daño menor,8025.21,Media,Parachoques,159814,2022-06-26,Desfavorable,Luces dañadas
5XN0BSG6Y3CZ5RGKM,Fiat,Modelo1,2019,Italia,Gris,2016-10-18,Daño menor,3324.01,Leve,Motor,22079,2020-06-16,Desfavorable,Luces dañadas
1MHHW4XVX9EYYA1KC,BMW,Modelo3,2022,Italia,Azul,,,,,,157955,2023-10-20,Desfavorable,Sin defectos
YK49073BFGV6ZL1KS,Nissan,Modelo3,2023,España,Negro,2024-04-14,,4343.39,Leve,Motor,140692,2024-11-27,Desfavorable,Frenos OK
EJSXNT15KAP1VK7L5,Hyundai,Modelo2,2024,España,Azul,2022-06-01,,4991.84,,Motor,89735,2021-03-08,Desfavorable,Fugas leves de aceite
WYW7ZF0JHVMXCLT7V,Peugeot,Modelo1,2024,Alemania,Rojo,2020-09-07,Impacto frontal,3605.77,Grave,,179756,2023-05-13,Favorable,Fugas leves de aceite
X7HLAZ7U61D5K25K7,BMW,Modelo2,2019,Japón,Azul,,,,,,66777,2023-08-22,Favorable,Fugas leves de aceite
VKEBK7MNH3RH44JPP,Kia,Modelo2,2011,España,Azul,2024-10-14,Daño menor,6545.46,Grave,Laterales,170706,2022-03-09,Desfavorable,Frenos OK
7PHS17FWUA5DJHVMW,Toyota,Modelo3,2021,Alemania,Azul,2017-08-12,Daño por granizo,2116.29,Grave,Capó,102438,2023-10-13,Desfavorable,Fugas leves de aceite
4UNUMUNPV4J2MA1MV,Mazda,Modelo2,2020,Japón,Negro,2023-11-26,Daño menor,14892.25,Leve,Puertas,163497,2022-01-19,Desfavorable,Frenos OK
P21Y9GCSZV59M0LSA,Hyundai,Modelo3,2018,Francia,Azul,,,,,,175058,2023-12-07,Desfavorable,Sin defectos
267RYDDSCC258X5NS,Seat,Modelo3,2022,Alemania,Gris,2015-10-28,Daño por granizo,7508.61,Grave,Puertas,30856,2023-03-23,Favorable,Sin defectos
SH3H0DPAESA53AXYL,Ford,Modelo1,2018,Francia,Azul,2021-04-07,Daño menor,6089.45,Media,Parachoques,50385,2023-07-27,Desfavorable,Luces dañadas
T1VBZV5ZFDHS93WR5,Toyota,Modelo1,2012,España,Rojo,2019-10-10,,2431.41,Leve,Puertas,98436,2021-11-28,Desfavorable,Luces dañadas
FDGGN1GV99BX9FS0Y,Nissan,Modelo2,2014,Japón,Negro,2018-07-31,Daño por granizo,4141.65,,Capó,122390,2023-11-11,Desfavorable,Frenos OK
T5A7E900M5NL8K6UG,Opel,Modelo2,2022,España,Negro,,,,,,124939,2023-01-02,Desfavorable,Luces dañadas
BTLNG19G35JUUV6BG,BMW,Modelo3,2024,Italia,Azul,2020-09-26,Impacto frontal,11926.61,Media,Laterales,136355,2022-06-11,Desfavorable,Sin defectos
PZ4VWZ29KPSEJM9TD,Ford,Modelo3,2017,España,Rojo,2018-07-05,Impacto frontal,4692.78,Leve,Puertas,105787,2024-07-01,Favorable,Sin defectos
WT4B182579DABZLK0,Mazda,Modelo2,2012,Italia,Gris,,,,,,99472,2020-08-01,Favorable,Fugas leves de aceite
V2ECBEULV4HGDT96J,BMW,Modelo1,2015,Japón,Rojo,,,,,,164374,2021-05-29,Favorable,Fugas leves de aceite
AYAMWJ7W2UA1TF9CW,Volkswagen,Modelo2,2015,España,Gris,2021-04-13,Accidente grave,8762.4,Media,Laterales,129365,2021-03-13,Desfavorable,Fugas leves de aceite
W8BUC97R0XPFC269M,Opel,Modelo3,2022,España,Gris,,,,,,187578,2024-11-04,Desfavorable,Fugas leves de aceite
8MSCWP7YY35NT3LEM,Seat,Modelo1,2021,España,Rojo,,,,,,59626,2020-11-12,Favorable,Fugas leves de aceite
G5SPH3NXBGEAYW3JX,Renault,Modelo1,2012,Italia,Negro,2021-08-10,Impacto frontal,1621.77,Media,Parachoques,23894,2024-06-12,Desfavorable,Fugas leves de aceite
7FW5ZN4MSD60V4XAJ,Opel,Modelo2,2023,España,Azul,,,,,,88408,2024-10-06,Favorable,Frenos OK
LWSH8RVX2CD9VAHR6,Volkswagen,Modelo2,2016,Francia,Negro,2017-06-25,Accidente grave,7469.28,,Parachoques,169032,2022-06-13,Favorable,Luces dañadas
80RZJ51F8VYBKR1X5,Audi,Modelo2,2017,Italia,Rojo,,,,,,119536,2020-10-24,Desfavorable,Frenos OK
R3XH4DNBD9S32PZ30,Citroen,Modelo2,2010,Italia,Rojo,2017-09-13,Daño menor,7509.91,,Capó,126816,2024-03-23,Favorable,Luces dañadas
T83ZTG29SPNH0LSDP,Ford,Modelo1,2020,Japón,Blanco,2020-04-26,Daño menor,2067.43,,Parachoques,182858,2020-10-01,Favorable,Fugas leves de aceite
DUML739GAB9C160HN,Mazda,Modelo2,2023,Alemania,Blanco,2021-05-29,Daño por granizo,12481.68,Media,Puertas,197316,2022-02-22,Desfavorable,Fugas leves de aceite
3LCP131GR8HD4PMWC,Ford,Modelo1,2019,España,Blanco,2020-12-10,,10997.28,Media,Motor,7328,2022-08-19,Favorable,Frenos OK
5Z27DE2JNE39JL4BG,Seat,Modelo2,2011,Japón,Blanco,,,,,,152429,2022-02-24,Favorable,Luces dañadas
RU51G1G9HG5MUE0P7,Citroen,Modelo3,2023,España,Azul,2015-02-02,,12964.43,Media,Parachoques,38595,2023-01-17,Desfavorable,Luces dañadas
BTVZMN3HWCFDSGVJK,Seat,Modelo1,2020,España,Negro,,,,,,90683,2022-10-22,Desfavorable,Fugas leves de aceite
NSGYN6MA44851HMLB,Volkswagen,Modelo3,2015,Alemania,Gris,2021-08-30,Daño por granizo,1522.64,Media,,54054,2022-07-17,Desfavorable,Luces dañadas
0F4TFGXTUD0HNW8CY,Mazda,Modelo3,2019,España,Gris,2016-01-02,,12545.57,,,151561,2024-09-10,Desfavorable,Sin defectos
BSAW4W8A174K1ACUM,Ford,Modelo1,2015,Italia,Gris,,,,,,162869,2020-02-21,Desfavorable,Fugas leves de aceite
8Y947Z8PMWJ22GPGG,Hyundai,Modelo1,2016,Japón,Azul,,,,,,165119,2020-11-06,Favorable,Fugas leves de aceite
3XUJXE3Z7W3078091,Mazda,Modelo1,2014,Italia,Azul,2019-07-13,Impacto frontal,7349.14,Grave,Parachoques,26715,2021-08-01,Desfavorable,Frenos OK
D5YMCM7WFLRG9DK9T,Nissan,Modelo2,2014,Japón,Negro,,,,,,153138,2023-08-28,Desfavorable,Luces dañadas
