id,matricula,marca,modelo,anio_small
83,2734KNN,Volkswagen,Golf,2022
84,4530BTK,Honda,Modelo,2021
85,2920RPH,Ford,Kuga,2017
86,2679RXD,Toyota,RAV4,2018
87,7736PBT,Hyundai,Modelo,2016
88,1745FVP,Honda,Modelo,2021
89,2338CGG,Peugeot,Modelo,2017
90,5445MHT,Ford,Kuga,2013
91,5442GDZ,Mazda,Modelo,2016
92,7758NHY,Volkswagen,Tiguan,2023
93,4555KTW,BMW,Modelo,2021
94,6457CRC,Seat,Arona,2023
95,7240VXD,Volkswagen,Polo,2013
96,6508CMK,Audi,Modelo,2019
97,9869DRF,Hyundai,Modelo,2024
98,5148CXY,Opel,Modelo,2010
99,4979KXK,Audi,Modelo,2010
100,5692NPC,Audi,Modelo,2011
101,4819GNW,Citroen,Modelo,2019
102,4995ZPN,Fiat,Modelo,2020
103,7364YJT,Hyundai,Modelo,2015
104,8564LLG,Ford,Mondeo,2015
105,8868XXS,Toyota,Yaris,2020
106,5690YVG,Kia,Modelo,2012
107,4889XLJ,Audi,Modelo,2016
108,5504LFM,Audi,Modelo,2013
109,1052TLX,Honda,Modelo,2022
110,9947NTZ,Citroen,Modelo,2020
111,9475HCC,Toyota,RAV4,2022
112,7405JDX,Peugeot,Modelo,2023
113,4279HJP,Nissan,Modelo,2017
114,3528BHX,Nissan,Modelo,2018
115,7901PJW,Seat,Ibiza,2019
116,7326RBD,Volkswagen,Golf,2021
117,6082WTX,Audi,Modelo,2021
118,1139FTX,Hyundai,Modelo,2022
119,2819FTH,Volkswagen,Passat,2017
120,2711PPT,Audi,Modelo,2012
121,9008FVT,BMW,Modelo,2017
122,4474WDH,Renault,Megane,2021
123,1480XPC,Seat,Arona,2022
124,3615NWP,BMW,Modelo,2016
125,1172VFJ,Honda,Modelo,2022
126,3512FXG,Opel,Modelo,2010
127,4564MDL,Kia,Modelo,2023
128,5438JVR,BMW,Modelo,2017
129,6853NPR,Mazda,Modelo,2017
130,9709BMH,Peugeot,Modelo,2022
131,3188KNT,Peugeot,Modelo,2013
132,3470PBS,Honda,Modelo,2019
133,1957FTL,Opel,Modelo,2013
134,7844FPL,Honda,Modelo,2011
135,5656WGD,Ford,Mondeo,2015
136,6950DRW,Hyundai,Modelo,2017
137,4825PTS,Nissan,Modelo,2017
138,5891VRB,Volkswagen,Passat,2019
139,6092TMM,Hyundai,Modelo,2012
140,9413DFK,Toyota,RAV4,2024
141,4985BLV,Opel,Modelo,2015
142,7101CZT,Fiat,Modelo,2010
143,2179YNV,Opel,Modelo,2019
144,7319PHW,Renault,Scenic,2017
145,8260JXJ,Mazda,Modelo,2023
146,5814NGX,Mazda,Modelo,2013
147,3736HDK,Kia,Modelo,2023
148,5204LMJ,BMW,Modelo,2023
149,2869KKX,Ford,Focus,2023
150,6322PMW,Volkswagen,Polo,2016
151,6598JSG,Citroen,Modelo,2014
152,8994TLV,Toyota,C-HR,2021
153,1128LSC,Kia,Modelo,2010
154,3626XYN,Peugeot,Modelo,2015
155,9364LBF,Ford,Mondeo,2022
156,1111FGH,Honda,Modelo,2017
157,2593DMJ,Mazda,Modelo,2015
158,4250NCH,Seat,Ibiza,2022
159,5051LRH,Peugeot,Modelo,2016
160,2006CFJ,Ford,Focus,2016
161,9609SXF,Toyota,Corolla,2023
162,7124BRB,Volkswagen,Golf,2012
163,3106WYH,Toyota,RAV4,2022
164,1705PZT,Mazda,Modelo,2024
165,5254LNY,Volkswagen,Tiguan,2014
166,9799LXY,Audi,Modelo,2019
167,3183NNP,Fiat,Modelo,2014
168,2969KBS,Peugeot,Modelo,2013
169,7475JYT,Peugeot,Modelo,2020
170,8408LSN,Hyundai,Modelo,2013
171,7870YGW,Fiat,Modelo,2023
172,1036SZK,Honda,Modelo,2020
173,2593JRF,Nissan,Modelo,2014
174,5010RZG,Nissan,Modelo,2014
175,5768PBG,Audi,Modelo,2017
176,2131PCH,Opel,Modelo,2022
177,9494JJH,Volkswagen,Polo,2021
178,6353FZD,Opel,Modelo,2011
179,4718VZG,Toyota,RAV4,2016
180,9962CJJ,Ford,Mondeo,2017
181,7674NKT,Renault,Megane,2011
182,4016JFW,Citroen,Modelo,2018
183,3088SRX,Toyota,RAV4,2010
184,6014KMR,BMW,Modelo,2022
185,7714CST,Peugeot,Modelo,2022
186,9028HSJ,Opel,Modelo,2018
187,3234HCP,Audi,Modelo,2018
188,7901CGN,BMW,Modelo,2012
189,5961BYR,Kia,Modelo,2020
190,4050RPP,Renault,Captur,2019
191,5950XDD,Honda,Modelo,2022
192,5839ZZG,Fiat,Modelo,2022
193,6636KZP,Ford,Kuga,2011
194,2985YPP,Honda,Modelo,2024
195,8378KFS,Mazda,Modelo,2014
196,8938CGV,Toyota,RAV4,2010
197,7035LDY,Opel,Modelo,2010
198,5279ZCX,Peugeot,Modelo,2022
199,4203NGV,BMW,Modelo,2016
200,3633TCW,Kia,Modelo,2018
201,1828JPL,Peugeot,Modelo,2021
202,2208FBN,Fiat,Modelo,2017
203,1018RLG,Audi,Modelo,2010
204,3834HBH,Ford,Kuga,2016
205,7649ZHL,Ford,Kuga,2021
206,2771PTB,Opel,Modelo,2011
207,5749CPF,Audi,Modelo,2017
208,5909HWS,Ford,Fiesta,2014
209,9981PBR,Citroen,Modelo,2024
210,2351KHF,Seat,Ibiza,2015
211,3094YGK,Fiat,Modelo,2021
212,6194DFS,Ford,Mondeo,2020
213,8941NBT,Kia,Modelo,2021
214,6606WVT,Honda,Modelo,2022
215,2861VYR,Citroen,Modelo,2022
216,8088JWB,BMW,Modelo,2010
217,1581WXL,BMW,Modelo,2020
218,5419FVY,Renault,Clio,2021
219,3096VJP,Honda,Modelo,2017
220,8762SSC,Renault,Scenic,2019
221,1069YZM,Volkswagen,Tiguan,2016
222,8138DYP,BMW,Modelo,2017
223,6129BNB,Toyota,Yaris,2024
224,4586YDT,Hyundai,Modelo,2020
225,1553VPP,Volkswagen,Polo,2011
226,9823KMR,Mazda,Modelo,2013
227,1034RZH,Honda,Modelo,2017
228,2904NTG,Opel,Modelo,2023
229,8319BXK,Volkswagen,Passat,2013
230,6057CZK,Honda,Modelo,2013
231,7805KKD,Seat,Ateca,2017
232,2758BZP,Kia,Modelo,2022
233,3400SVH,Renault,Megane,2018
234,6681NMR,Mazda,Modelo,2021
235,2978LVW,Audi,Modelo,2021
236,5604RHG,Honda,Modelo,2012
237,6844TZS,Renault,Captur,2013
238,8951GZS,BMW,Modelo,2018
239,8473LFB,BMW,Modelo,2024
240,9778NPN,Nissan,Modelo,2018
241,4362NCN,Nissan,Modelo,2014
242,3638RCJ,Renault,Megane,2018
243,3884HBP,Peugeot,Modelo,2018
244,8423PYJ,Kia,Modelo,2014
245,6125PWM,Volkswagen,Passat,2014
246,3655YHM,Citroen,Modelo,2012
247,2252KFS,Citroen,Modelo,2011
248,2703DKL,Fiat,Modelo,2024
249,6385VRD,Peugeot,Modelo,2023
250,5109FTC,Peugeot,Modelo,2023
251,7545HKV,Hyundai,Modelo,2023
252,5358WYJ,Toyota,RAV4,2010
253,9692TBP,Opel,Modelo,2018
254,7795MWT,Toyota,Yaris,2011
255,9444KLH,Ford,Fiesta,2012
256,6750XDL,Hyundai,Modelo,2024
257,6607BWC,Honda,Modelo,2012
258,8245LGY,Peugeot,Modelo,2010
259,5297NCP,Ford,Kuga,2013
260,6245KBK,Audi,Modelo,2010
261,3073RYC,Toyota,Yaris,2023
262,6121YPY,Ford,Fiesta,2014
263,9634CJJ,Citroen,Modelo,2020
264,3794MMV,Audi,Modelo,2012
265,6741BCV,Toyota,C-HR,2017
266,6331BDL,Hyundai,Modelo,2024
267,2297GHB,Peugeot,Modelo,2023
268,5164LVR,Fiat,Modelo,2019
269,9270FNN,Toyota,Yaris,2013
270,7980FLV,Volkswagen,Tiguan,2019
271,3362TGC,Nissan,Modelo,2024
272,9990ZPM,Mazda,Modelo,2011
273,4823FGY,Honda,Modelo,2015
274,3353SGC,Nissan,Modelo,2023
275,5139FCG,Volkswagen,Polo,2021
276,6926CNJ,Hyundai,Modelo,2023
277,2943GGJ,Toyota,C-HR,2012
278,9322KZH,Nissan,Modelo,2011
279,3250HYC,Mazda,Modelo,2020
280,9711JJJ,Honda,Modelo,2016
281,9141BYD,BMW,Modelo,2022
282,9360DRR,Fiat,Modelo,2010
283,8146TDC,Citroen,Modelo,2012
284,8073RXJ,BMW,Modelo,2024
285,1495RFH,Hyundai,Modelo,2021
286,5980BWN,Audi,Modelo,2020
287,5161VST,Citroen,Modelo,2013
288,1686DJZ,Volkswagen,Passat,2018
289,9589CFP,Peugeot,Modelo,2010
290,5569VNM,Seat,Ateca,2022
291,9954SGK,Toyota,Yaris,2018
292,6884LCC,Toyota,Yaris,2019
293,7448KBD,Seat,Leon,2022
294,3591FYH,Fiat,Modelo,2022
295,3526SPY,Honda,Modelo,2013
296,3489HCP,Honda,Modelo,2013
297,1964KTF,Kia,Modelo,2012
298,4158DLW,Citroen,Modelo,2013
299,8465YRP,Toyota,C-HR,2022
300,5040ZRN,Citroen,Modelo,2021
301,7686HXY,Citroen,Modelo,2014
302,5673GMC,Peugeot,Modelo,2020
303,6082NCH,Citroen,Modelo,2014
304,2353JJW,Opel,Modelo,2016
305,1974HHB,Ford,Focus,2013
306,7017RVV,Peugeot,Modelo,2012
307,8463SRG,Toyota,Yaris,2023
308,2458NZH,Opel,Modelo,2019
309,1401VZN,BMW,Modelo,2010
310,4697DNX,Honda,Modelo,2013
311,3457XZB,Fiat,Modelo,2017
312,4486WGG,Citroen,Modelo,2014
313,5331DKD,Honda,Modelo,2012
314,9321RJS,Audi,Modelo,2024
315,6179YDK,Renault,Captur,2023
316,7682XFK,Kia,Modelo,2013
317,8490YYP,BMW,Modelo,2023
318,9404NDM,Ford,Fiesta,2022
319,4358BVM,Peugeot,Modelo,2020
320,7397TRS,Toyota,RAV4,2019
321,1811BPC,Volkswagen,Polo,2022
322,8949GMN,Honda,Modelo,2011
323,5493WBT,Seat,Leon,2015
324,1403BFX,Honda,Modelo,2019
325,1409ZDL,Mazda,Modelo,2011
326,6552HSH,Nissan,Modelo,2015
327,9088TMD,Ford,Fiesta,2016
328,4748SRF,Seat,Leon,2010
329,6430FHZ,Fiat,Modelo,2012
330,1073PXJ,BMW,Modelo,2023
331,2697SJV,Citroen,Modelo,2014
332,4836LTR,Fiat,Modelo,2011
333,6384GTS,Kia,Modelo,2023
334,5749MDG,Ford,Focus,2024
335,8183PFN,Ford,Mondeo,2012
336,8831GHS,Nissan,Modelo,2011
337,7647VPT,Honda,Modelo,2014
338,4101KPZ,Fiat,Modelo,2012
339,5445LXM,Nissan,Modelo,2014
340,9510LRX,Seat,Arona,2020
341,7659SHG,Kia,Modelo,2015
342,7010ZXW,Volkswagen,Golf,2022
343,3102SGZ,Audi,Modelo,2022
344,8877VHD,Hyundai,Modelo,2017
345,7320YTW,Honda,Modelo,2010
346,8405YVF,Citroen,Modelo,2023
347,6990KCN,Mazda,Modelo,2022
348,3706CVZ,Hyundai,Modelo,2023
349,4199FHD,Seat,Arona,2011
350,2275YHT,Kia,Modelo,2012
351,3445KZZ,Toyota,C-HR,2016
352,3881TNR,Kia,Modelo,2017
353,7934JLR,Opel,Modelo,2018
354,2572DPF,Honda,Modelo,2020
355,3918JGG,Kia,Modelo,2015
356,1414MGK,Honda,Modelo,2011
357,7327GJH,Toyota,Corolla,2016
358,7708NXM,Citroen,Modelo,2024
359,7414KFT,Opel,Modelo,2019
360,2717JHW,Fiat,Modelo,2019
361,8515GZT,Renault,Megane,2020
362,2707SNX,Volkswagen,Polo,2012
363,8557BMX,Renault,Megane,2017
364,7027LMZ,Honda,Modelo,2010
365,1867MWD,Seat,Ateca,2013
366,6684PJL,Kia,Modelo,2015
367,5645FZV,Opel,Modelo,2022
368,6196BCC,Toyota,C-HR,2010
369,1449MVJ,BMW,Modelo,2019
370,2426XVD,Fiat,Modelo,2019
371,8225NDG,BMW,Modelo,2011
372,9072NMC,Nissan,Modelo,2013
373,4621VKS,Renault,Scenic,2015
374,1310XRT,Hyundai,Modelo,2016
375,6767VNS,Volkswagen,Polo,2011
376,7348NJL,Citroen,Modelo,2021
377,6821JHN,Citroen,Modelo,2020
378,2121MCW,Ford,Mondeo,2021
379,6239ZCW,Toyota,C-HR,2021
380,9155XNB,Seat,Arona,2024
381,6079RYY,Toyota,Yaris,2017
382,7525LVB,Citroen,Modelo,2014
383,8780DFH,BMW,Modelo,2014
384,4287GXW,Mazda,Modelo,2024
385,1360KSY,Mazda,Modelo,2017
386,7824GLN,Hyundai,Modelo,2019
387,3659CRN,Nissan,Modelo,2010
388,2488DBJ,BMW,Modelo,2022
389,2153MRF,Citroen,Modelo,2018
390,6060LBV,Nissan,Modelo,2010
391,6455GSR,Hyundai,Modelo,2018
392,9495MCF,Seat,Ateca,2010
393,1433GSG,Citroen,Modelo,2015
394,1216RWV,Volkswagen,Golf,2022
395,9177KRC,Hyundai,Modelo,2010
396,8837MWS,Renault,Captur,2019
397,9608XKS,BMW,Modelo,2014
398,6872DRD,Opel,Modelo,2021
399,2750YBW,Toyota,C-HR,2016
400,6736KDT,Toyota,RAV4,2016
401,3567FMZ,Seat,Arona,2013
402,9053VNW,Audi,Modelo,2017
403,2024WGF,Opel,Modelo,2020
404,3527CXS,Seat,Ibiza,2012
405,4246SWL,Mazda,Modelo,2019
406,2122DRL,BMW,Modelo,2011
407,6908ZDX,Ford,Mondeo,2012
408,2703FZT,BMW,Modelo,2015
409,5713GTW,Citroen,Modelo,2016
410,8761BGV,Kia,Modelo,2022
411,3376PPS,Honda,Modelo,2013
412,3496CXG,Mazda,Modelo,2024
413,8323DKZ,Mazda,Modelo,2018
414,9777JXR,Renault,Scenic,2012
415,5512WNN,Hyundai,Modelo,2017
416,2625LJV,Citroen,Modelo,2018
417,1727LWJ,BMW,Modelo,2021
418,1238VBT,Honda,Modelo,2017
419,2182JXD,Hyundai,Modelo,2018
420,2629YDD,Honda,Modelo,2022
421,2112GJY,Citroen,Modelo,2011
422,7690ZNL,Citroen,Modelo,2023
423,8984XBF,Citroen,Modelo,2013
424,6398WLY,Nissan,Modelo,2021
425,5833DVS,Renault,Scenic,2014
426,4638ZVZ,Nissan,Modelo,2019
427,2178RBK,Nissan,Modelo,2018
428,3647PTH,Kia,Modelo,2024
429,2030YLX,Renault,Megane,2024
430,5296NDS,Nissan,Modelo,2014
431,5956DZB,Peugeot,Modelo,2018
432,2883PLR,Seat,Ateca,2022
433,5094YFP,Seat,Ateca,2017
434,4523LHF,Peugeot,Modelo,2021
435,9354ZNX,Hyundai,Modelo,2011
436,8035VFL,Hyundai,Modelo,2013
437,1637ZBY,Fiat,Modelo,2013
438,4173LJY,Kia,Modelo,2017
439,9056BJS,Ford,Mondeo,2020
440,4398LHC,BMW,Modelo,2011
441,8806TFT,Fiat,Modelo,2022
442,6075JGN,Nissan,Modelo,2011
443,1918ZZZ,Nissan,Modelo,2016
444,4982MVF,Volkswagen,Tiguan,2020
445,9537WNZ,Honda,Modelo,2012
446,8381KVK,BMW,Modelo,2019
447,4536GNY,Honda,Modelo,2012
448,6627MRX,Nissan,Modelo,2024
449,8813HPG,Peugeot,Modelo,2020
450,1922NDT,Seat,Ibiza,2015
451,7400ZZL,BMW,Modelo,2024
452,4704CGD,Toyota,Corolla,2015
453,8957DBK,Ford,Focus,2017
454,1729LFG,Nissan,Modelo,2010
455,6724LSP,Audi,Modelo,2020
456,6342JTJ,Peugeot,Modelo,2016
457,1240JYY,Kia,Modelo,2013
458,7744DBT,Volkswagen,Golf,2019
459,3176XJT,Volkswagen,Passat,2010
460,3200KGB,Volkswagen,Passat,2021
461,3965SZX,Renault,Scenic,2014
462,5519TKK,Peugeot,Modelo,2022
463,7416LYS,Toyota,Corolla,2022
464,3375CDS,Renault,Megane,2012
465,9868KTH,Mazda,Modelo,2010
466,4273GPD,Seat,Arona,2020
467,4190BPT,Kia,Modelo,2023
468,8669MCY,BMW,Modelo,2013
469,8990VRD,BMW,Modelo,2018
470,7705KVS,Volkswagen,Polo,2016
471,2437HRV,BMW,Modelo,2020
472,1752ZDM,Fiat,Modelo,2016
473,6458LCX,Citroen,Modelo,2015
474,1159YNP,Ford,Focus,2018
475,7691MFW,Volkswagen,Passat,2011
476,7065BFG,Renault,Clio,2019
477,4192MYX,Renault,Clio,2011
478,3345LZW,Mazda,Modelo,2010
479,4584JJY,Nissan,Modelo,2019
480,6558ZDV,BMW,Modelo,2013
481,6730HLN,Seat,Arona,2022
482,3084GDN,Hyundai,Modelo,2018
483,6258BCZ,Kia,Modelo,2023
484,1461HPR,Fiat,Modelo,2023
485,5927CHY,Hyundai,Modelo,2017
486,8713LGJ,Opel,Modelo,2015
487,2253VMM,Ford,Focus,2019
488,2205VRT,Seat,Leon,2017
489,5360BGF,Fiat,Modelo,2014
490,3900CZL,Hyundai,Modelo,2010
491,9964RPG,Toyota,Yaris,2011
492,4305KBD,Toyota,RAV4,2014
493,6561NFX,Toyota,C-HR,2017
494,2420SRJ,Mazda,Modelo,2018
495,2089BZF,Honda,Modelo,2024
496,4229ZGC,Kia,Modelo,2017
497,9767LRV,Ford,Mondeo,2013
498,9777HKB,Seat,Ateca,2018
499,6200SZZ,Ford,Fiesta,2017
500,7878XXW,Renault,Scenic,2013
501,6511NYG,Hyundai,Modelo,2011
502,8927SHM,Peugeot,Modelo,2016
503,5968KPP,Peugeot,Modelo,2013
504,1710WJN,Citroen,Modelo,2019
505,7337WMB,Fiat,Modelo,2022
506,5736PYS,Fiat,Modelo,2018
507,2841KGN,Peugeot,Modelo,2017
508,7868XDJ,Seat,Ibiza,2017
509,8136BXR,Honda,Modelo,2024
510,9097PWV,Fiat,Modelo,2013
511,3617RRD,Nissan,Modelo,2017
512,5419FTW,BMW,Modelo,2012
513,3969GLV,Citroen,Modelo,2010
514,2921SYZ,Renault,Scenic,2023
515,6499PBY,Mazda,Modelo,2020
516,9211PKY,Kia,Modelo,2020
517,8963JND,Nissan,Modelo,2017
518,3452RFB,Opel,Modelo,2010
519,8588SGT,Renault,Captur,2010
520,7602JYC,Volkswagen,Tiguan,2015
521,6619DYR,Mazda,Modelo,2011
522,5853HPN,Peugeot,Modelo,2013
523,8334WFZ,Ford,Focus,2024
524,4386FZD,Citroen,Modelo,2016
525,8288YML,Honda,Modelo,2024
526,7671MJT,Citroen,Modelo,2022
527,6590KPV,BMW,Modelo,2019
528,8543BWX,Audi,Modelo,2021
529,5163HJP,Ford,Focus,2017
530,8321ZVZ,BMW,Modelo,2016
531,4211HNW,Toyota,Yaris,2021
532,6486XVL,Renault,Megane,2011
533,5539LVL,Kia,Modelo,2020
534,7516ZGC,Renault,Captur,2014
535,4077HCN,Mazda,Modelo,2019
536,4748PZN,Volkswagen,Polo,2012
537,1327FYZ,Hyundai,Modelo,2018
538,4306GTT,BMW,Modelo,2014
539,6833ZNJ,Hyundai,Modelo,2010
540,9200LBR,Citroen,Modelo,2019
541,2153VRT,BMW,Modelo,2016
542,3003CHN,Hyundai,Modelo,2017
543,7433PPZ,Citroen,Modelo,2014
544,6264CXC,Nissan,Modelo,2019
545,8209YCJ,Opel,Modelo,2018
546,3218KCC,Renault,Clio,2011
547,9121NDK,Renault,Captur,2010
548,3436JCT,Volkswagen,Golf,2023
549,1273PFJ,Audi,Modelo,2023
550,7955FFW,Seat,Leon,2015
551,3849DHN,Fiat,Modelo,2011
552,6879MTR,Citroen,Modelo,2011
553,9653ZZB,Citroen,Modelo,2019
554,7544DLT,Seat,Leon,2017
555,6861VTJ,Opel,Modelo,2012
556,5478MVN,BMW,Modelo,2023
557,7026TGC,Opel,Modelo,2017
558,1453XHW,Toyota,Corolla,2020
559,7133ZML,Opel,Modelo,2024
560,8239BBR,Volkswagen,Tiguan,2015
561,7069GDH,Toyota,Yaris,2017
562,7395NJR,Volkswagen,Golf,2010
563,2456FDJ,Ford,Fiesta,2010
564,3500ZRZ,Mazda,Modelo,2013
565,9773FDH,Renault,Scenic,2017
566,9153KZM,Honda,Modelo,2023
567,2103PPD,Mazda,Modelo,2018
568,5497PHC,Toyota,Yaris,2020
569,1716ZFZ,Ford,Fiesta,2020
570,2836XLT,Renault,Scenic,2014
571,9848RCZ,Peugeot,Modelo,2023
572,8327YGY,Opel,Modelo,2010
573,2913HSK,Honda,Modelo,2021
574,3284FNR,Seat,Ibiza,2014
575,3783KHN,Ford,Kuga,2013
576,4078RCL,Renault,Clio,2016
577,6389HNT,Audi,Modelo,2013
578,7413NTL,Opel,Modelo,2021
579,1683HZD,Peugeot,Modelo,2023
580,6277TPV,Kia,Modelo,2014
581,1271WCS,Seat,Leon,2022
582,2503PFC,Mazda,Modelo,2018
583,7532PZZ,Renault,Scenic,2019
584,5108KSL,Citroen,Modelo,2011
585,7048CDG,Volkswagen,Passat,2011
586,7301ZFS,Citroen,Modelo,2016
587,6116CMH,Kia,Modelo,2014
588,8927LWV,BMW,Modelo,2014
589,4003DKG,Ford,Kuga,2021
590,5870CFK,Volkswagen,Tiguan,2019
591,4459RLM,Renault,Captur,2018
592,6015NLG,Opel,Modelo,2016
593,3207KJH,Nissan,Modelo,2021
594,8584MKX,Ford,Focus,2015
595,1932NRM,Fiat,Modelo,2021
596,8256TFK,Volkswagen,Tiguan,2023
597,7468JJD,Citroen,Modelo,2014
598,1242SYT,Peugeot,Modelo,2017
599,4200XSP,Ford,Mondeo,2021
600,9199GWS,Audi,Modelo,2019
601,3334RKK,Kia,Modelo,2021
602,1798XNW,Volkswagen,Golf,2012
603,2594SLJ,Nissan,Modelo,2017
604,7874CTK,Mazda,Modelo,2019
605,1044SDW,Toyota,C-HR,2017
606,6658TKF,Volkswagen,Passat,2018
607,9567CDR,Peugeot,Modelo,2014
608,3258ZHX,Opel,Modelo,2019
609,9748RRS,Ford,Mondeo,2018
610,4811LSN,Kia,Modelo,2018
611,3753HFC,Citroen,Modelo,2018
612,2240CWW,Volkswagen,Golf,2024
613,1390DBV,Ford,Mondeo,2012
614,8100FMD,Volkswagen,Tiguan,2021
615,8060LLT,Mazda,Modelo,2014
616,2454GGH,Hyundai,Modelo,2018
617,8146LRJ,Nissan,Modelo,2014
618,6458BLL,Renault,Megane,2013
619,7806NGN,Hyundai,Modelo,2014
620,6567GBN,Nissan,Modelo,2017
621,5407DCB,Honda,Modelo,2018
622,7663MTP,Opel,Modelo,2020
623,9249WDR,Honda,Modelo,2010
624,8757GKS,Volkswagen,Passat,2011
625,8890YMJ,Toyota,Corolla,2016
626,8771TRP,Kia,Modelo,2015
627,2059CZW,Citroen,Modelo,2018
628,3717SCJ,Toyota,C-HR,2019
629,1317SYV,Mazda,Modelo,2011
630,9123KHN,Citroen,Modelo,2017
631,9655NMM,Nissan,Modelo,2011
632,6219KBR,Opel,Modelo,2023
633,4553WBX,Kia,Modelo,2022
634,5437VFZ,Fiat,Modelo,2017
635,4490JKW,Opel,Modelo,2019
636,6634FRL,BMW,Modelo,2012
637,1481NBD,Peugeot,Modelo,2012
638,4781NBH,BMW,Modelo,2010
639,6146TTX,Kia,Modelo,2022
640,7819CDD,Citroen,Modelo,2020
641,9819HHV,Audi,Modelo,2021
642,7166TMT,Renault,Megane,2019
643,3788LDZ,Seat,Ibiza,2018
644,4439RRV,Volkswagen,Passat,2019
645,1693KTT,Opel,Modelo,2017
646,5869VPZ,Peugeot,Modelo,2012
647,7553VKP,Toyota,Yaris,2019
648,2696WJS,Audi,Modelo,2014
649,8140GPP,Honda,Modelo,2012
650,1588BWN,Fiat,Modelo,2018
651,1451YJS,Citroen,Modelo,2015
652,4246NZP,Opel,Modelo,2015
653,6296RGX,Honda,Modelo,2019
654,7525BMK,Audi,Modelo,2010
655,3229FTK,Audi,Modelo,2016
656,5732CMY,Mazda,Modelo,2015
657,7361BRK,BMW,Modelo,2017
658,7546YHD,Toyota,RAV4,2022
659,4628KYL,Renault,Clio,2019
660,1772GVM,Fiat,Modelo,2023
661,6877SHM,Mazda,Modelo,2015
662,3483FTR,Audi,Modelo,2016
663,4430ZXW,Volkswagen,Passat,2014
664,7344YKH,Seat,Ibiza,2023
665,3956MMZ,Fiat,Modelo,2015
666,4298BFZ,Mazda,Modelo,2024
667,5767HFK,Opel,Modelo,2023
668,8554VWF,Fiat,Modelo,2024
669,6110SCL,Peugeot,Modelo,2011
670,5953PFM,Ford,Focus,2010
