id,numero_poliza,aseguradora_id,clase_poliza,estado
268,POL000268,1,TERCEROS_AMPLIADO,EXPIRADA
269,POL000269,1,RC,CANCELADA
270,POL000270,1,RC,VIGENTE
271,POL000271,1,TERCEROS_AMPLIADO,EXPIRADA
272,POL000272,1,RC,EXPIRADA
273,POL000273,1,RC,EXPIRADA
274,POL000274,2,TODO_RIESGO,VIGENTE
275,POL000275,1,TODO_RIESGO,VIGENTE
276,POL000276,1,TERCEROS_AMPLIADO,VIGENTE
277,POL000277,1,TERCEROS_AMPLIADO,EXPIRADA
278,POL000278,2,TODO_RIESGO,CANCELADA
279,POL000279,1,RC,EXPIRADA
280,POL000280,2,TERCEROS_AMPLIADO,EXPIRADA
281,POL000281,1,TERCEROS_AMPLIADO,VIGENTE
282,POL000282,2,RC,EXPIRADA
283,POL000283,2,RC,VIGENTE
284,POL000284,2,TODO_RIESGO,VIGENTE
285,POL000285,1,TODO_RIESGO,EXPIRADA
286,POL000286,2,RC,EXPIRADA
287,POL000287,2,TERCEROS_AMPLIADO,EXPIRADA
288,POL000288,1,TODO_RIESGO,EXPIRADA
289,POL000289,1,TODO_RIESGO,CANCELADA
290,POL000290,2,TODO_RIESGO,VIGENTE
291,POL000291,2,RC,CANCELADA
292,POL000292,1,TERCEROS_AMPLIADO,VIGENTE
293,POL000293,2,TODO_RIESGO,VIGENTE
294,POL000294,1,RC,VIGENTE
295,POL000295,1,TODO_RIESGO,CANCELADA
296,POL000296,2,TODO_RIESGO,EXPIRADA
297,POL000297,2,RC,CANCELADA
298,POL000298,2,RC,EXPIRADA
299,POL000299,2,TERCEROS_AMPLIADO,CANCELADA
300,POL000300,2,TODO_RIESGO,EXPIRADA
301,POL000301,1,RC,VIGENTE
302,POL000302,1,TODO_RIESGO,EXPIRADA
303,POL000303,1,TODO_RIESGO,VIGENTE
304,POL000304,1,TODO_RIESGO,EXPIRADA
305,POL000305,1,TODO_RIESGO,VIGENTE
306,POL000306,2,TERCEROS_AMPLIADO,CANCELADA
307,POL000307,2,TODO_RIESGO,VIGENTE
308,POL000308,2,RC,CANCELADA
309,POL000309,2,TERCEROS_AMPLIADO,VIGENTE
310,POL000310,1,TODO_RIESGO,EXPIRADA
311,POL000311,1,TERCEROS_AMPLIADO,EXPIRADA
312,POL000312,2,TODO_RIESGO,VIGENTE
313,POL000313,1,RC,EXPIRADA
314,POL000314,1,RC,EXPIRADA
315,POL000315,1,TODO_RIESGO,EXPIRADA
316,POL000316,2,TERCEROS_AMPLIADO,EXPIRADA
317,POL000317,1,RC,VIGENTE
318,POL000318,1,TERCEROS_AMPLIADO,VIGENTE
319,POL000319,2,TODO_RIESGO,VIGENTE
320,POL000320,2,TERCEROS_AMPLIADO,VIGENTE
321,POL000321,2,RC,CANCELADA
322,POL000322,2,TODO_RIESGO,VIGENTE
323,POL000323,2,RC,EXPIRADA
324,POL000324,1,TODO_RIESGO,EXPIRADA
325,POL000325,1,TODO_RIESGO,VIGENTE
326,POL000326,1,TODO_RIESGO,CANCELADA
327,POL000327,1,RC,VIGENTE
328,POL000328,2,RC,CANCELADA
329,POL000329,2,RC,CANCELADA
330,POL000330,2,TODO_RIESGO,EXPIRADA
331,POL000331,1,TERCEROS_AMPLIADO,CANCELADA
332,POL000332,2,TODO_RIESGO,VIGENTE
333,POL000333,1,RC,EXPIRADA
334,POL000334,2,TODO_RIESGO,CANCELADA
335,POL000335,2,RC,CANCELADA
336,POL000336,2,TODO_RIESGO,CANCELADA
337,POL000337,2,TODO_RIESGO,EXPIRADA
338,POL000338,2,TODO_RIESGO,VIGENTE
339,POL000339,2,TERCEROS_AMPLIADO,CANCELADA
340,POL000340,2,TODO_RIESGO,VIGENTE
341,POL000341,1,TERCEROS_AMPLIADO,EXPIRADA
342,POL000342,1,RC,CANCELADA
343,POL000343,2,TODO_RIESGO,EXPIRADA
344,POL000344,1,TODO_RIESGO,EXPIRADA
345,POL000345,1,RC,EXPIRADA
346,POL000346,1,TERCEROS_AMPLIADO,CANCELADA
347,POL000347,1,TERCEROS_AMPLIADO,CANCELADA
348,POL000348,2,TODO_RIESGO,VIGENTE
349,POL000349,1,RC,CANCELADA
350,POL000350,2,TODO_RIESGO,VIGENTE
351,POL000351,1,TERCEROS_AMPLIADO,EXPIRADA
352,POL000352,2,TERCEROS_AMPLIADO,VIGENTE
353,POL000353,2,TERCEROS_AMPLIADO,EXPIRADA
354,POL000354,2,RC,VIGENTE
355,POL000355,1,TODO_RIESGO,CANCELADA
356,POL000356,2,RC,CANCELADA
357,POL000357,2,TODO_RIESGO,VIGENTE
358,POL000358,1,TERCEROS_AMPLIADO,CANCELADA
359,POL000359,1,RC,EXPIRADA
360,POL000360,2,TODO_RIESGO,EXPIRADA
361,POL000361,1,RC,VIGENTE
362,POL000362,2,RC,VIGENTE
363,POL000363,2,TODO_RIESGO,CANCELADA
364,POL000364,2,RC,EXPIRADA
365,POL000365,2,TERCEROS_AMPLIADO,VIGENTE
366,POL000366,1,RC,EXPIRADA
367,POL000367,2,TERCEROS_AMPLIADO,CANCELADA
368,POL000368,1,RC,EXPIRADA
369,POL000369,1,RC,EXPIRADA
370,POL000370,2,TODO_RIESGO,CANCELADA
371,POL000371,1,TODO_RIESGO,VIGENTE
372,POL000372,2,TODO_RIESGO,EXPIRADA
373,POL000373,1,TERCEROS_AMPLIADO,CANCELADA
374,POL000374,2,RC,CANCELADA
375,POL000375,1,TERCEROS_AMPLIADO,VIGENTE
376,POL000376,1,RC,EXPIRADA
377,POL000377,1,TODO_RIESGO,CANCELADA
378,POL000378,1,TODO_RIESGO,EXPIRADA
379,POL000379,2,RC,CANCELADA
380,POL000380,2,TERCEROS_AMPLIADO,CANCELADA
381,POL000381,2,TERCEROS_AMPLIADO,VIGENTE
382,POL000382,2,TERCEROS_AMPLIADO,EXPIRADA
383,POL000383,1,TODO_RIESGO,VIGENTE
384,POL000384,1,TERCEROS_AMPLIADO,VIGENTE
385,POL000385,1,RC,VIGENTE
386,POL000386,2,TODO_RIESGO,CANCELADA
387,POL000387,1,RC,VIGENTE
388,POL000388,1,TERCEROS_AMPLIADO,CANCELADA
389,POL000389,1,RC,VIGENTE
390,POL000390,1,TODO_RIESGO,CANCELADA
391,POL000391,1,TODO_RIESGO,CANCELADA
392,POL000392,2,TODO_RIESGO,CANCELADA
393,POL000393,1,TERCEROS_AMPLIADO,VIGENTE
394,POL000394,2,TERCEROS_AMPLIADO,VIGENTE
395,POL000395,1,TERCEROS_AMPLIADO,CANCELADA
396,POL000396,2,TERCEROS_AMPLIADO,EXPIRADA
397,POL000397,1,RC,VIGENTE
398,POL000398,1,TODO_RIESGO,CANCELADA
399,POL000399,1,RC,EXPIRADA
400,POL000400,2,RC,EXPIRADA
401,POL000401,1,TODO_RIESGO,CANCELADA
402,POL000402,2,TODO_RIESGO,EXPIRADA
403,POL000403,2,TODO_RIESGO,VIGENTE
404,POL000404,1,TODO_RIESGO,CANCELADA
405,POL000405,1,TERCEROS_AMPLIADO,EXPIRADA
406,POL000406,2,TERCEROS_AMPLIADO,EXPIRADA
407,POL000407,1,RC,EXPIRADA
408,POL000408,1,TODO_RIESGO,CANCELADA
409,POL000409,1,TODO_RIESGO,CANCELADA
410,POL000410,2,RC,VIGENTE
411,POL000411,1,TODO_RIESGO,VIGENTE
412,POL000412,1,TERCEROS_AMPLIADO,VIGENTE
413,POL000413,2,TODO_RIESGO,CANCELADA
414,POL000414,1,TERCEROS_AMPLIADO,CANCELADA
415,POL000415,2,RC,CANCELADA
416,POL000416,1,TERCEROS_AMPLIADO,CANCELADA
417,POL000417,2,RC,VIGENTE
418,POL000418,2,TODO_RIESGO,VIGENTE
419,POL000419,2,RC,EXPIRADA
420,POL000420,2,TODO_RIESGO,CANCELADA
421,POL000421,1,TERCEROS_AMPLIADO,EXPIRADA
422,POL000422,2,TERCEROS_AMPLIADO,VIGENTE
423,POL000423,1,RC,VIGENTE
424,POL000424,2,RC,EXPIRADA
425,POL000425,1,TERCEROS_AMPLIADO,VIGENTE
426,POL000426,1,RC,EXPIRADA
427,POL000427,1,TERCEROS_AMPLIADO,VIGENTE
428,POL000428,1,RC,EXPIRADA
429,POL000429,1,TODO_RIESGO,VIGENTE
430,POL000430,2,TERCEROS_AMPLIADO,EXPIRADA
431,POL000431,1,RC,EXPIRADA
432,POL000432,1,TERCEROS_AMPLIADO,VIGENTE
433,POL000433,1,RC,CANCELADA
434,POL000434,2,RC,CANCELADA
435,POL000435,2,RC,CANCELADA
436,POL000436,1,TODO_RIESGO,EXPIRADA
437,POL000437,1,RC,EXPIRADA
438,POL000438,2,TERCEROS_AMPLIADO,VIGENTE
439,POL000439,1,TERCEROS_AMPLIADO,VIGENTE
440,POL000440,1,TERCEROS_AMPLIADO,CANCELADA
441,POL000441,1,TODO_RIESGO,VIGENTE
442,POL000442,1,RC,VIGENTE
443,POL000443,1,TERCEROS_AMPLIADO,EXPIRADA
444,POL000444,1,TERCEROS_AMPLIADO,EXPIRADA
445,POL000445,1,RC,EXPIRADA
446,POL000446,1,RC,VIGENTE
447,POL000447,2,TODO_RIESGO,EXPIRADA
448,POL000448,2,TODO_RIESGO,VIGENTE
449,POL000449,2,RC,EXPIRADA
450,POL000450,2,TODO_RIESGO,CANCELADA
451,POL000451,2,TERCEROS_AMPLIADO,CANCELADA
452,POL000452,2,TERCEROS_AMPLIADO,VIGENTE
453,POL000453,2,TODO_RIESGO,VIGENTE
454,POL000454,1,RC,CANCELADA
455,POL000455,2,RC,CANCELADA
456,POL000456,2,TODO_RIESGO,EXPIRADA
457,POL000457,2,RC,VIGENTE
458,POL000458,1,RC,CANCELADA
459,POL000459,1,TODO_RIESGO,CANCELADA
460,POL000460,2,TERCEROS_AMPLIADO,VIGENTE
461,POL000461,2,TODO_RIESGO,VIGENTE
462,POL000462,2,TODO_RIESGO,CANCELADA
463,POL000463,1,TERCEROS_AMPLIADO,VIGENTE
464,POL000464,1,RC,EXPIRADA
465,POL000465,2,TERCEROS_AMPLIADO,CANCELADA
466,POL000466,1,TERCEROS_AMPLIADO,EXPIRADA
467,POL000467,1,RC,VIGENTE
468,POL000468,2,TODO_RIESGO,CANCELADA
469,POL000469,2,RC,CANCELADA
470,POL000470,2,TERCEROS_AMPLIADO,CANCELADA
471,POL000471,1,TODO_RIESGO,VIGENTE
472,POL000472,1,TODO_RIESGO,CANCELADA
473,POL000473,1,TERCEROS_AMPLIADO,EXPIRADA
474,POL000474,1,RC,CANCELADA
475,POL000475,1,TODO_RIESGO,CANCELADA
476,POL000476,2,TODO_RIESGO,EXPIRADA
477,POL000477,2,TODO_RIESGO,EXPIRADA
478,POL000478,2,RC,EXPIRADA
479,POL000479,1,TERCEROS_AMPLIADO,VIGENTE
480,POL000480,2,TODO_RIESGO,VIGENTE
481,POL000481,1,TERCEROS_AMPLIADO,VIGENTE
482,POL000482,2,TODO_RIESGO,VIGENTE
483,POL000483,1,TERCEROS_AMPLIADO,CANCELADA
484,POL000484,1,TERCEROS_AMPLIADO,CANCELADA
485,POL000485,2,TERCEROS_AMPLIADO,CANCELADA
486,POL000486,2,RC,CANCELADA
487,POL000487,2,TERCEROS_AMPLIADO,VIGENTE
488,POL000488,1,RC,CANCELADA
489,POL000489,1,TODO_RIESGO,VIGENTE
490,POL000490,2,RC,CANCELADA
491,POL000491,2,TODO_RIESGO,EXPIRADA
492,POL000492,1,TODO_RIESGO,CANCELADA
493,POL000493,2,TERCEROS_AMPLIADO,EXPIRADA
494,POL000494,1,TERCEROS_AMPLIADO,EXPIRADA
495,POL000495,1,TODO_RIESGO,CANCELADA
496,POL000496,1,TERCEROS_AMPLIADO,EXPIRADA
497,POL000497,2,RC,VIGENTE
498,POL000498,1,RC,EXPIRADA
499,POL000499,1,RC,VIGENTE
500,POL000500,2,RC,CANCELADA
501,POL000501,1,TODO_RIESGO,CANCELADA
502,POL000502,2,TERCEROS_AMPLIADO,CANCELADA
503,POL000503,1,TERCEROS_AMPLIADO,CANCELADA
504,POL000504,2,RC,EXPIRADA
505,POL000505,2,RC,CANCELADA
506,POL000506,1,RC,EXPIRADA
507,POL000507,1,RC,VIGENTE
508,POL000508,2,TODO_RIESGO,EXPIRADA
509,POL000509,1,TODO_RIESGO,CANCELADA
510,POL000510,1,RC,EXPIRADA
511,POL000511,2,TERCEROS_AMPLIADO,EXPIRADA
512,POL000512,2,RC,CANCELADA
513,POL000513,1,TERCEROS_AMPLIADO,VIGENTE
514,POL000514,2,TODO_RIESGO,CANCELADA
515,POL000515,2,TODO_RIESGO,CANCELADA
516,POL000516,1,TERCEROS_AMPLIADO,CANCELADA
517,POL000517,1,TODO_RIESGO,EXPIRADA
518,POL000518,2,TERCEROS_AMPLIADO,CANCELADA
519,POL000519,2,TODO_RIESGO,EXPIRADA
520,POL000520,1,RC,VIGENTE
521,POL000521,1,RC,CANCELADA
522,POL000522,1,TODO_RIESGO,EXPIRADA
523,POL000523,2,TERCEROS_AMPLIADO,CANCELADA
524,POL000524,1,TODO_RIESGO,VIGENTE
525,POL000525,1,TODO_RIESGO,CANCELADA
526,POL000526,1,TODO_RIESGO,EXPIRADA
527,POL000527,2,TERCEROS_AMPLIADO,VIGENTE
528,POL000528,2,TERCEROS_AMPLIADO,CANCELADA
529,POL000529,2,RC,CANCELADA
530,POL000530,2,TODO_RIESGO,EXPIRADA
531,POL000531,1,RC,EXPIRADA
532,POL000532,1,TODO_RIESGO,EXPIRADA
533,POL000533,2,TERCEROS_AMPLIADO,CANCELADA
534,POL000534,1,TERCEROS_AMPLIADO,VIGENTE
535,POL000535,2,RC,VIGENTE
536,POL000536,1,RC,EXPIRADA
537,POL000537,1,TODO_RIESGO,EXPIRADA
538,POL000538,2,RC,CANCELADA
539,POL000539,1,TERCEROS_AMPLIADO,EXPIRADA
540,POL000540,2,TERCEROS_AMPLIADO,CANCELADA
541,POL000541,2,TODO_RIESGO,VIGENTE
542,POL000542,1,TERCEROS_AMPLIADO,CANCELADA
543,POL000543,2,RC,VIGENTE
544,POL000544,2,RC,CANCELADA
